fornavn,år,antall
Andrine,2018,1670.0
Andrine,2019,1680.0
Andrine,2020,1691.0
Andrine,2021,1714.0
Andrine,2022,1726.0
Andrine,2023,1730.0
Andrine,2024,1738.0
Ane,2013,4080.0
Ane,2014,4156.0
Ane,2015,4196.0
Ane,2016,4233.0
Ane,2017,4269.0
Ane,2018,4313.0
Ane,2019,4341.0
Ane,2020,4373.0
Ane,2021,4548.0
Ane,2022,4572.0
Ane,2023,4607.0
Ane,2024,4629.0
Aneta,2013,359.0
Aneta,2014,392.0
Aneta,2015,437.0
Aneta,2016,445.0
Aneta,2017,451.0
Aneta,2018,457.0
Aneta,2019,457.0
Aneta,2020,467.0
Aneta,2021,490.0
Aneta,2022,500.0
Aneta,2023,515.0
Aneta,2024,529.0
Anett,2013,506.0
Anett,2014,512.0
Anett,2015,518.0
Anett,2016,515.0
Anett,2017,513.0
Anett,2018,514.0
Anett,2019,519.0
Anett,2020,515.0
Anett,2021,527.0
Anett,2022,527.0
Anett,2023,528.0
Anett,2024,525.0
Anette,2013,8531.0
Anette,2014,8536.0
Anette,2015,8538.0
Anette,2016,8524.0
Anette,2017,8501.0
Anette,2018,8490.0
Anette,2019,8483.0
Anette,2020,8479.0
Anette,2021,8472.0
Anette,2022,8455.0
Anette,2023,8443.0
Anette,2024,8437.0
Angela,2013,466.0
Angela,2014,465.0
Angela,2015,480.0
Angela,2016,494.0
Angela,2017,510.0
Angela,2018,534.0
Angela,2019,550.0
Angela,2020,546.0
Angela,2021,570.0
Angela,2022,596.0
Angela,2023,600.0
Angela,2024,611.0
Angelica,2013,987.0
Angelica,2014,1036.0
Angelica,2015,1084.0
Angelica,2016,1111.0
Angelica,2017,1139.0
Angelica,2018,1159.0
Angelica,2019,1171.0
Angelica,2020,1192.0
Angelica,2021,1208.0
Angelica,2022,1240.0
Angelica,2023,1259.0
Angelica,2024,1273.0
Angelika,2013,361.0
Angelika,2014,387.0
Angelika,2015,422.0
Angelika,2016,431.0
Angelika,2017,455.0
Angelika,2018,463.0
Angelika,2019,484.0
Angelika,2020,484.0
Angelika,2021,499.0
Angelika,2022,515.0
Angelika,2023,533.0
Angelika,2024,543.0
Angelina,2013,291.0
Angelina,2014,306.0
Angelina,2015,323.0
Angelina,2016,338.0
Angelina,2017,346.0
Angelina,2018,359.0
Angelina,2019,370.0
Angelina,2020,377.0
Angelina,2021,385.0
Angelina,2022,411.0
Angelina,2023,431.0
Angelina,2024,432.0
Anine,2013,1040.0
Anine,2014,1065.0
Anine,2015,1082.0
Anine,2016,1094.0
Anine,2017,1111.0
Anine,2018,1118.0
Anine,2019,1131.0
Anine,2020,1138.0
Anine,2021,1166.0
Anine,2022,1183.0
Anine,2023,1190.0
Anine,2024,1196.0
Anisa,2013,209.0
Anisa,2014,219.0
Anisa,2015,237.0
Anisa,2016,241.0
Anisa,2017,249.0
Anisa,2018,256.0
Anisa,2019,266.0
Anisa,2020,265.0
Anisa,2021,275.0
Anisa,2022,282.0
Anisa,2023,284.0
Anisa,2024,286.0
Anita,2013,14633.0
Anita,2014,14643.0
Anita,2015,14646.0
Anita,2016,14626.0
Anita,2017,14601.0
Anita,2018,14591.0
Anita,2019,14581.0
Anita,2020,14553.0
Anita,2021,14581.0
