fornavn,år,antall
Anatolii,2016,
Anatolii,2017,
Anatolii,2018,
Anatolii,2019,
Anatolii,2020,
Anatolii,2021,
Anatolii,2022,
Anatolii,2023,258.0
Anatolii,2024,342.0
Anders,2013,19703.0
Anders,2014,19652.0
Anders,2015,19570.0
Anders,2016,19479.0
Anders,2017,19422.0
Anders,2018,19370.0
Anders,2019,19301.0
Anders,2020,19237.0
Anders,2021,19217.0
Anders,2022,19121.0
Anders,2023,19041.0
Anders,2024,18968.0
Andre,2013,6367.0
Andre,2014,6384.0
Andre,2015,6397.0
Andre,2016,6413.0
Andre,2017,6435.0
Andre,2018,6461.0
Andre,2019,6478.0
Andre,2020,6506.0
Andre,2021,3183.0
Andre,2022,6377.0
Andre,2023,6386.0
Andre,2024,6378.0
Andreas,2013,20455.0
Andreas,2014,20621.0
Andreas,2015,20727.0
Andreas,2016,20840.0
Andreas,2017,20943.0
Andreas,2018,21030.0
Andreas,2019,21091.0
Andreas,2020,21185.0
Andreas,2021,21221.0
Andreas,2022,21335.0
Andreas,2023,21382.0
Andreas,2024,21407.0
Andrei,2013,233.0
Andrei,2014,256.0
Andrei,2015,287.0
Andrei,2016,297.0
Andrei,2017,302.0
Andrei,2018,321.0
Andrei,2019,338.0
Andrei,2020,342.0
Andrei,2021,436.0
Andrei,2022,471.0
Andrei,2023,524.0
Andrei,2024,548.0
Andrej,2013,
Andrej,2014,207.0
Andrej,2015,224.0
Andrej,2016,217.0
Andrej,2017,209.0
Andrej,2018,215.0
Andrej,2019,224.0
Andrej,2020,233.0
Andrej,2021,251.0
Andrej,2022,264.0
Andrej,2023,270.0
Andrej,2024,284.0
Andres,2013,336.0
Andres,2014,344.0
Andres,2015,350.0
Andres,2016,352.0
Andres,2017,351.0
Andres,2018,349.0
Andres,2019,354.0
Andres,2020,355.0
Andres,2021,322.0
Andres,2022,365.0
Andres,2023,370.0
Andres,2024,369.0
Andrew,2013,580.0
Andrew,2014,603.0
Andrew,2015,623.0
Andrew,2016,609.0
Andrew,2017,614.0
Andrew,2018,625.0
Andrew,2019,648.0
Andrew,2020,666.0
Andrew,2021,689.0
Andrew,2022,709.0
Andrew,2023,720.0
Andrew,2024,722.0
Andrii,2013,
Andrii,2014,
Andrii,2015,
Andrii,2016,
Andrii,2017,
Andrii,2018,
Andrii,2019,
Andrii,2020,
Andrii,2021,
Andrii,2022,479.0
Andrii,2023,1026.0
Andrii,2024,1365.0
Andris,2013,
Andris,2014,206.0
Andris,2015,212.0
Andris,2016,208.0
Andris,2017,200.0
Andris,2018,209.0
Andris,2019,210.0
Andris,2020,219.0
Andris,2021,224.0
Andris,2022,234.0
Andris,2023,236.0
Andris,2024,248.0
Andrius,2013,475.0
Andrius,2014,517.0
Andrius,2015,544.0
Andrius,2016,552.0
Andrius,2017,554.0
Andrius,2018,548.0
Andrius,2019,551.0
Andrius,2020,564.0
Andrius,2021,555.0
Andrius,2022,557.0
Andrius,2023,556.0
Andrius,2024,559.0
Andrzej,2013,1819.0
Andrzej,2014,1877.0
Andrzej,2015,1910.0
Andrzej,2016,1854.0
Andrzej,2017,1848.0
Andrzej,2018,1817.0
Andrzej,2019,1822.0
Andrzej,2020,1799.0
Andrzej,2021,1819.0
Andrzej,2022,1772.0
Andrzej,2023,1741.0
Andrzej,2024,1738.0
Annar,2013,263.0
Annar,2014,261.0
Annar,2015,260.0
Annar,2016,256.0
Annar,2017,250.0
Annar,2018,245.0
Annar,2019,236.0
Annar,2020,231.0
Annar,2021,225.0
Annar,2022,221.0
Annar,2023,215.0
Annar,2024,212.0
Ansgar,2013,349.0
Ansgar,2014,347.0
Ansgar,2015,338.0
Ansgar,2016,327.0
Ansgar,2017,322.0
Ansgar,2018,309.0
Ansgar,2019,303.0
Ansgar,2020,293.0
Ansgar,2021,286.0
Ansgar,2022,283.0
Ansgar,2023,275.0
Ansgar,2024,264.0
Anthony,2013,440.0
Anthony,2014,447.0
Anthony,2015,458.0
Anthony,2016,452.0
Anthony,2017,460.0
Anthony,2018,477.0
Anthony,2019,489.0
Anthony,2020,494.0
Anthony,2021,517.0
Anthony,2022,520.0
Anthony,2023,520.0
Anthony,2024,533.0
Anton,2013,1950.0
Anton,2014,2030.0
Anton,2015,2100.0
Anton,2016,2154.0
Anton,2017,2209.0
Anton,2018,2255.0
Anton,2019,2336.0
Anton,2020,2395.0
Anton,2021,2472.0
Anton,2022,2622.0
Anton,2023,2792.0
Anton,2024,2932.0
Antoni,2013,
Antoni,2014,218.0
Antoni,2015,255.0
Antoni,2016,276.0
Antoni,2017,299.0
Antoni,2018,307.0
Antoni,2019,331.0
Antoni,2020,353.0
Antoni,2021,362.0
Antoni,2022,380.0
Antoni,2023,396.0
Antoni,2024,396.0
Antonio,2013,445.0
Antonio,2014,480.0
Antonio,2015,501.0
Antonio,2016,526.0
Antonio,2017,542.0
Antonio,2018,560.0
Antonio,2019,583.0
Antonio,2020,597.0
Antonio,2021,615.0
Antonio,2022,640.0
Antonio,2023,657.0
Antonio,2024,674.0
Anwar,2013,
Anwar,2014,
Anwar,2015,
Anwar,2016,
Anwar,2017,
Anwar,2018,202.0
Anwar,2019,205.0
Anwar,2020,208.0
Anwar,2021,216.0
Anwar,2022,224.0
Anwar,2023,231.0
Anwar,2024,234.0
Aram,2013,
Aram,2014,
Aram,2015,
Aram,2016,
Aram,2017,
Aram,2018,
Aram,2019,200.0
Aram,2020,211.0
Aram,2021,226.0
Aram,2022,236.0
Aram,2023,247.0
Aram,2024,262.0
Are,2013,2332.0
Are,2014,2333.0
Are,2015,2341.0
Are,2016,2341.0
Are,2017,2335.0
Are,2018,2329.0
Are,2019,2323.0
Are,2020,2316.0
Are,2021,2339.0
Are,2022,2335.0
Are,2023,2327.0
Are,2024,2322.0
Ari,2013,223.0
Ari,2014,230.0
Ari,2015,239.0
Ari,2016,242.0
Ari,2017,243.0
Ari,2018,250.0
Ari,2019,253.0
Ari,2020,263.0
Ari,2021,279.0
Ari,2022,291.0
Ari,2023,298.0
Ari,2024,309.0
Arian,2013,389.0
Arian,2014,432.0
Arian,2015,471.0
Arian,2016,513.0
Arian,2017,546.0
Arian,2018,582.0
Arian,2019,609.0
Arian,2020,655.0
Arian,2021,677.0
Arian,2022,712.0
Arian,2023,739.0
Arian,2024,753.0
Arild,2013,10409.0
Arild,2014,10339.0
Arild,2015,10242.0
Arild,2016,10178.0
Arild,2017,10081.0
Arild,2018,9990.0
Arild,2019,9888.0
Arild,2020,9798.0
Arild,2021,9679.0
Arild,2022,9549.0
Arild,2023,9432.0
Arild,2024,9292.0
Arkadiusz,2013,593.0
Arkadiusz,2014,644.0
Arkadiusz,2015,673.0
Arkadiusz,2016,682.0
Arkadiusz,2017,675.0
Arkadiusz,2018,678.0
Arkadiusz,2019,695.0
Arkadiusz,2020,702.0
Arkadiusz,2021,713.0
Arkadiusz,2022,698.0
Arkadiusz,2023,697.0
Arkadiusz,2024,711.0
Arman,2013,243.0
Arman,2014,256.0
Arman,2015,272.0
Arman,2016,286.0
Arman,2017,298.0
Arman,2018,313.0
Arman,2019,330.0
Arman,2020,346.0
Arman,2021,365.0
Arman,2022,380.0
Arman,2023,391.0
Arman,2024,403.0
Armin,2013,212.0
Armin,2014,223.0
Armin,2015,235.0
Armin,2016,253.0
Armin,2017,259.0
Armin,2018,267.0
Armin,2019,276.0
Armin,2020,285.0
Armin,2021,294.0
Armin,2022,303.0
Armin,2023,313.0
Armin,2024,323.0
Arn,2013,
Arn,2014,
Arn,2015,
Arn,2016,
Arn,2017,
